name,boronum,X,Y,SEGMENT,AnnoAngle,AnnoLine1,AnnoLine2,AnnoLine3,Borough,OBJECTID,Stacked
GERRITSEN BEACH,3,1003663.1866,154546.17718,1,0,Gerritsen,Beach,,BROOKLYN,83,2
GHENT,,,,,,,,,,,
GILBERTSVILLE,,,,,,,,,,,
GILGO-OAK BEACH-CAPTREE,,,,,,,,,,,
GLASCO,,,,,,,,,,,
GLEN COVE,,,,,,,,,,,
GLEN HEAD,,,,,,,,,,,
GLEN OAKS,4,1063082.9663,212446.17818,1,0,Glen,Oaks,,QUEENS,158,2
GLEN PARK,,,,,,,,,,,
GLENDALE,4,1020089.3574,195338.21666,1,0,Glendale,,,QUEENS,147,1
GLENS FALLS,,,,,,,,,,,
GLENS FALLS NORTH,,,,,,,,,,,
GLENWOOD LANDING,,,,,,,,,,,
GLOVERSVILLE,,,,,,,,,,,
GOLDENS BRIDGE,,,,,,,,,,,
GORDON HEIGHTS,,,,,,,,,,,
GOSHEN,,,,,,,,,,,
GOUVERNEUR,,,,,,,,,,,
GOWANDA,,,,,,,,,,,
GOWANUS,3,985792.04251,184807.74362,1,0,Gowanus,,,BROOKLYN,69,1
GRAMERCY,1,989411.21014,207862.56956,1,0,Gramercy,,,MANHATTAN,129,1
GRAND VIEW-ON-HUDSON,,,,,,,,,,,
GRANITEVILLE,5,941732.93049,165258.75418,1,0,Graniteville,,,STATEN ISLAND,229,1
GRANT CITY,5,954843.67363,149225.0871,1,0,Grant,City,,STATEN ISLAND,236,2
GRANVILLE,,,,,,,,,,,
GRASMERE,5,962957.22991,157251.01823,1,0,Grasmere,,,STATEN ISLAND,232,1
GRAVESEND,3,991617.57384,156146.79766,1,0,Gravesend,,,BROOKLYN,51,1
GREAT BEND,,,,,,,,,,,
GREAT KILLS,5,942751.90812,139502.3467,1,0,Great,Kills,,STATEN ISLAND,216,2
GREAT NECK,,,,,,,,,,,
GREAT NECK ESTATES,,,,,,,,,,,
GREAT NECK GARDENS,,,,,,,,,,,
GREAT NECK PLAZA,,,,,,,,,,,
GREAT RIVER,,,,,,,,,,,
GREECE,,,,,,,,,,,
GREEN ISLAND,,,,,,,,,,,
GREENE,,,,,,,,,,,
GREENLAWN,,,,,,,,,,,
GREENPOINT,3,996932.36406,205311.79021,1,0,Greenpoint,,,BROOKLYN,50,1
GREENPORT,,,,,,,,,,,
GREENPORT WEST,,,,,,,,,,,
GREENRIDGE,5,931037.30359,143253.00554,1,0,Greenridge,,,STATEN ISLAND,245,1
GREENVALE,,,,,,,,,,,
GREENVILLE,,,,,,,,,,,
GREENVILLE,,,,,,,,,,,
GREENWICH,,,,,,,,,,,
GREENWICH VILLAGE,1,984273.82835,204117.80737,1,0,Greenwich,Village,,MANHATTAN,120,2
GREENWOOD LAKE,,,,,,,,,,,
GROTON,,,,,,,,,,,
GRYMES HILL,5,960030.23937,166695.79166,1,0,Grymes,Hill,,STATEN ISLAND,205,2
HAGAMAN,,,,,,,,,,,
HALESITE,,,,,,,,,,,
HAMBURG,,,,,,,,,,,
HAMILTON,,,,,,,,,,,
HAMILTON HEIGHTS,1,998174.70967,239342.44656,1,0,Hamilton,Heights,,MANHATTAN,106,2
HAMMOND,,,,,,,,,,,
HAMMONDSPORT,,,,,,,,,,,
HAMPTON BAYS,,,,,,,,,,,
HAMPTON MANOR,,,,,,,,,,,
HANCOCK,,,,,,,,,,,
HANNIBAL,,,,,,,,,,,
HARBOR HILLS,,,,,,,,,,,
HARBOR ISLE,,,,,,,,,,,
HARRIMAN,,,,,,,,,,,
HARRIS HILL,,,,,,,,,,,
HARRISON,,,,,,,,,,,
HARRISVILLE,,,,,,,,,,,
HARTSDALE,,,,,,,,,,,
HASTINGS-ON-HUDSON,,,,,,,,,,,
HAUPPAUGE,,,,,,,,,,,
HAVERSTRAW,,,,,,,,,,,
HAVILAND,,,,,,,,,,,
HAWTHORNE,,,,,,,,,,,
HEAD OF THE HARBOR,,,,,,,,,,,
HEARTLAND VILLAGE,5,940082.92723,153955.71314,1,0,Heartland,Village,,STATEN ISLAND,246,2
HEMPSTEAD,,,,,,,,,,,
HERITAGE HILLS,,,,,,,,,,,
HERKIMER,,,,,,,,,,,
HERMON,,,,,,,,,,,
HERRICKS,,,,,,,,,,,
HERRINGS,,,,,,,,,,,
HEUVELTON,,,,,,,,,,,
HEWLETT,,,,,,,,,,,
HEWLETT BAY PARK,,,,,,,,,,,
HEWLETT HARBOR,,,,,,,,,,,
HEWLETT NECK,,,,,,,,,,,
HICKSVILLE,,,,,,,,,,,
HIGH  BRIDGE,2,1004698.4784,244090.27335,1,0,High,Bridge,,BRONX,20,2
HIGH FALLS,,,,,,,,,,,
HIGHLAND,,,,,,,,,,,
HIGHLAND FALLS,,,,,,,,,,,
HIGHLAND MILLS,,,,,,,,,,,
HIGHLAND PARK,3,1014680.9637,187943.35481,1,0,Highland,Park,,BROOKLYN,298,2
HILLBURN,,,,,,,,,,,
HILLCREST,4,1040350.6995,203050.28424,1,0,Hillcrest,,,QUEENS,188,1
HILLSIDE,,,,,,,,,,,
HILLSIDE LAKE,,,,,,,,,,,
HILTON,,,,,,,,,,,
HOBART,,,,,,,,,,,
HOLBROOK,,,,,,,,,,,
HOLLAND,,,,,,,,,,,
HOLLAND PATENT,,,,,,,,,,,
HOLLEY,,,,,,,,,,,
HOLLIS,4,1050993.9912,198493.38095,1,0,Hollis,,,QUEENS,166,1
HOLLISWOOD,4,1048796.7784,202026.47526,1,0,Holliswood,,,QUEENS,185,1
HOLTSVILLE,,,,,,,,,,,
HOMECREST,3,995584.55507,157337.87533,1,0,Homecrest,,,BROOKLYN,292,1
HOMER,,,,,,,,,,,
HONEOYE FALLS,,,,,,,,,,,
HOOSICK FALLS,,,,,,,,,,,
HOPEWELL JUNCTION,,,,,,,,,,,
HORNELL,,,,,,,,,,,
HORSEHEADS,,,,,,,,,,,
HORSEHEADS NORTH,,,,,,,,,,,
HOUGHTON,,,,,,,,,,,
HOWARD BEACH,4,1029162.1178,177669.78775,1,0,Howard,Beach,,QUEENS,136,2
HOWLAND HOOK,5,932566.19784,171929.61256,1,0,Howland,Hook,,STATEN ISLAND,260,2
HUDSON,,,,,,,,,,,
HUDSON FALLS,,,,,,,,,,,
HUGUENOT,5,930949.87791,133124.75972,1,0,Huguenot,,,STATEN ISLAND,239,1
HUNTER,,,,,,,,,,,
HUNTERS POINT,4,997033.2382,210125.79469,1,0,Hunters,Point,,QUEENS,275,2
HUNTINGTON,,,,,,,,,,,
HUNTINGTON BAY,,,,,,,,,,,
HUNTINGTON STATION,,,,,,,,,,,
HUNTS POINT,2,1016551.2339,234305.01668,1,0,Hunts,Point,,BRONX,25,2
HURLEY,,,,,,,,,,,
ILION,,,,,,,,,,,
INTERLAKEN,,,,,,,,,,,
INWOOD,1,1006041.8862,255408.13851,1,0,Inwood,,,MANHATTAN,105,1
IRONDEQUOIT,,,,,,,,,,,
IRVINGTON,,,,,,,,,,,
ISLAND PARK,,,,,,,,,,,
ISLANDIA,,,,,,,,,,,
ISLIP,,,,,,,,,,,
ISLIP TERRACE,,,,,,,,,,,
ITHACA,,,,,,,,,,,
JACKSON HEIGHTS,4,1016716.1211,213265.48231,1,0,Jackson,Heights,,QUEENS,134,2
JAMAICA CENTER,4,1040561.2916,196067.43469,1,0,Jamaica,Center,,QUEENS,163,2
JAMAICA ESTATES,4,1043232.9526,200499.47963,1,0,Jamaica,Estates,,QUEENS,186,2
JAMAICA HILLS,4,1040676.7067,198545.98583,1,0,Jamaica,Hills,,QUEENS,266,2
JAMESPORT,,,,,,,,,,,
JAMESTOWN,,,,,,,,,,,
JAMESTOWN WEST,,,,,,,,,,,
JEFFERSON HEIGHTS,,,,,,,,,,,
JEFFERSON VALLEY-YORKTOWN,,,,,,,,,,,
JEFFERSONVILLE,,,,,,,,,,,
JERICHO,,,,,,,,,,,
JOHNSON CITY,,,,,,,,,,,
JOHNSTOWN,,,,,,,,,,,
JORDAN,,,,,,,,,,,
KASER,,,,,,,,,,,
KEESEVILLE,,,,,,,,,,,
KENMORE,,,,,,,,,,,
KENSINGTON,3,989683.54391,173314.05401,1,0,Kensington,,,BROOKLYN,58,1
KERHONKSON,,,,,,,,,,,
KEW GARDENS,4,1031434.217,196238.05016,1,0,Kew,Gardens,,QUEENS,139,2
KEW GARDENS HILLS,4,1033900.3384,202582.04042,1,0,Kew,Gardens,Hills,QUEENS,160,3
KINDERHOOK,,,,,,,,,,,
KINGS,3,998572.93099,161293.33593,1,0,Madison,,,BROOKLYN,299,1
KINGS COUNTY,3,998572.93099,161293.33593,1,0,Madison,,,BROOKLYN,299,1
KINGS PARK,,,,,,,,,,,
KINGS POINT,,,,,,,,,,,
KINGSBRIDGE,2,1011123.2655,260515.2405,1,0,Kingsbridge,,,BRONX,6,1
KINGSTON,,,,,,,,,,,
KIRYAS JOEL,,,,,,,,,,,
LA FARGEVILLE,,,,,,,,,,,
LACKAWANNA,,,,,,,,,,,
LACONA,,,,,,,,,,,
LAKE CARMEL,,,,,,,,,,,
LAKE ERIE BEACH,,,,,,,,,,,
LAKE GEORGE,,,,,,,,,,,
LAKE GROVE,,,,,,,,,,,
LAKE KATRINE,,,,,,,,,,,
LAKE LUZERNE-HADLEY,,,,,,,,,,,
LAKE MOHEGAN,,,,,,,,,,,
LAKE PLACID,,,,,,,,,,,
LAKE RONKONKOMA,,,,,,,,,,,
LAKE SUCCESS,,,,,,,,,,,
LAKELAND,,,,,,,,,,,
LAKEVIEW,,,,,,,,,,,
LAKEWOOD,,,,,,,,,,,
LANCASTER,,,,,,,,,,,
LANSING,,,,,,,,,,,
LARCHMONT,,,,,,,,,,,
LATTINGTOWN,,,,,,,,,,,
LAUREL,,,,,,,,,,,
LAUREL HOLLOW,,,,,,,,,,,
LAURELTON,4,1056306.599,182711.3423,1,0,Laurelton,,,QUEENS,191,1
LAURENS,,,,,,,,,,,
LAWRENCE,,,,,,,,,,,
LE ROY,,,,,,,,,,,
LEEDS,,,,,,,,,,,
LEFRAK CITY,4,1022348.6187,207478.30524,1,0,Lefrak,City,,QUEENS,192,2
LEICESTER,,,,,,,,,,,
LENOX HILL,1,995645.7646,219123.59625,1,0,Lenox,Hill,,MANHATTAN,112,2
LEVITTOWN,,,,,,,,,,,
LEWISTON,,,,,,,,,,,
LIBERTY,,,,,,,,,,,
LIDO BEACH,,,,,,,,,,,
LIGHTHOUSE HILL,5,945934.761,149343.39559,1,0,Lighthouse,Hill,,STATEN ISLAND,295,2
LIMA,,,,,,,,,,,
LIME LAKE-MACHIAS,,,,,,,,,,,
LIMESTONE,,,,,,,,,,,
LINCOLN PARK,,,,,,,,,,,
LINCOLN SQUARE,1,988311.07126,221094.57361,1,0,Lincoln,Square,,MANHATTAN,115,2
LINCOLNDALE,,,,,,,,,,,
LINDENHURST,,,,,,,,,,,
LINDENWOOD,4,1025965.0927,181195.57795,1,0,Lindenwood,,,QUEENS,190,1
LISLE,,,,,,,,,,,
LITTLE FALLS,,,,,,,,,,,
LITTLE ITALY,1,984997.14613,201345.59211,1,0,Little,Italy,,MANHATTAN,124,2
LITTLE NECK,4,1056571.6244,220217.33619,1,0,Little,Neck,,QUEENS,156,2
LITTLE VALLEY,,,,,,,,,,,
LIVERPOOL,,,,,,,,,,,
LIVINGSTON MANOR,,,,,,,,,,,
LIVONIA,,,,,,,,,,,
LLOYD HARBOR,,,,,,,,,,,
LOCKPORT,,,,,,,,,,,
LOCUST VALLEY,,,,,,,,,,,
LODI,,,,,,,,,,,
LONG BEACH,,,,,,,,,,,
LONG ISLAND CITY,4,1001095.3538,212606.91867,1,0,Long,Island,City,QUEENS,142,3
LONGWOOD,2,1013096.0391,236256.84053,1,0,Longwood,,,BRONX,24,1
LORENZ PARK,,,,,,,,,,,
LOWER EAST SIDE,1,989547.33257,200793.45247,1,0,Lower,East,Side,MANHATTAN,122,3
LOWVILLE,,,,,,,,,,,
LYNBROOK,,,,,,,,,,,
LYNCOURT,,,,,,,,,,,
LYNDONVILLE,,,,,,,,,,,
LYON MOUNTAIN,,,,,,,,,,,
LYONS,,,,,,,,,,,
LYONS FALLS,,,,,,,,,,,
MACEDON,,,,,,,,,,,
MADISON,3,998572.93099,161293.33593,1,0,Madison,,,BROOKLYN,299,1
MAHOPAC,,,,,,,,,,,
MALBA,4,1032243.6425,227361.86685,1,0,Malba,,,QUEENS,297,1
MALDEN,,,,,,,,,,,
MALONE,,,,,,,,,,,
MALVERNE,,,,,,,,,,,
MALVERNE PARK OAKS,,,,,,,,,,,
MAMARONECK,,,,,,,,,,,
MANCHESTER,,,,,,,,,,,
MANHASSET,,,,,,,,,,,
MANHASSET HILLS,,,,,,,,,,,
MANHATTAN,1,998572.93099,161293.33593,1,0,Madison,,,BROOKLYN,299,1
MANHATTAN BEACH,3,999934.71304,149830.96712,1,0,Manhattan,Beach,,BROOKLYN,78,2
MANHATTAN TERRACE,3,996066.66074,163133.58914,1,0,Manhattan,Terrace,,BROOKLYN,54,2
MANHATTAN VALLEY,1,994138.30403,229759.44211,1,0,Manhattan,Valley,,MANHATTAN,127,2
MANHATTANVILLE,1,996045.48722,236911.24736,1,0,Manhattanville,,,MANHATTAN,107,2
MANLIUS,,,,,,,,,,,
MANNSVILLE,,,,,,,,,,,
MANOR HEIGHTS,5,950762.3583,158554.90637,1,0,Manor,Heights,,STATEN ISLAND,287,2
MANORHAVEN,,,,,,,,,,,
MANORVILLE,,,,,,,,,,,
MARATHON,,,,,,,,,,,
MARBLE HILL,1,1008956.756,258641.46735,1,0,Marble,Hill,,MANHATTAN,7,2
MARCELLUS,,,,,,,,,,,
MARGARETVILLE,,,,,,,,,,,
MARIAVILLE LAKE,,,,,,,,,,,
MARINE PARK,3,1003312.7506,161431.41833,1,0,Marine Park,,,BROOKLYN,84,1
MARINER'S HARBOR,5,942592.11841,169765.77108,1,0,Mariner's,Harbor,,STATEN ISLAND,209,2
MARLBORO,,,,,,,,,,,
MASPETH,4,1013016.0159,203586.34353,1,0,Maspeth,,,QUEENS,145,1
MASSAPEQUA,,,,,,,,,,,
MASSAPEQUA PARK,,,,,,,,,,,
MASSENA,,,,,,,,,,,
MASTIC,,,,,,,,,,,
MASTIC BEACH,,,,,,,,,,,
MATINECOCK,,,,,,,,,,,
MATTITUCK,,,,,,,,,,,
MATTYDALE,,,,,,,,,,,
MAYBROOK,,,,,,,,,,,
MAYFIELD,,,,,,,,,,,
MAYVILLE,,,,,,,,,,,
MCGRAW,,,,,,,,,,,
MECHANICSTOWN,,,,,,,,,,,
MECHANICVILLE,,,,,,,,,,,
MEDFORD,,,,,,,,,,,
MEDINA,,,,,,,,,,,
MEDUSA,,,,,,,,,,,
MELROSE,2,1009320.5319,237948.74627,1,0,Melrose,,,BRONX,21,1
MELROSE PARK,,,,,,,,,,,
MELVILLE,,,,,,,,,,,
MENANDS,,,,,,,,,,,
MERIDIAN,,,,,,,,,,,
MERRICK,,,,,,,,,,,
MEXICO,,,,,,,,,,,
MIDDLE ISLAND,,,,,,,,,,,
MIDDLE VILLAGE,4,1017198.5896,200307.99313,1,0,Middle,Village,,QUEENS,293,2
MIDDLEBURGH,,,,,,,,,,,
MIDDLEPORT,,,,,,,,,,,
MIDDLETOWN,,,,,,,,,,,
MIDDLEVILLE,,,,,,,,,,,
MIDLAND BEACH,5,958279.88132,148241.62351,1,0,Midland,Beach,,STATEN ISLAND,235,2
MIDTOWN,1,989328.71293,214231.53845,1,0,Midtown,,,MANHATTAN,117,1
MIDTOWN SOUTH,1,987377.35463,211979.11087,1,0,Midtown,South,,MANHATTAN,253,2
MIDWOOD,3,996021.15033,167200.68304,1,0,Midwood,,,BROOKLYN,93,1
MILFORD,,,,,,,,,,,
MILL BASIN,3,1007805.8403,163703.81766,1,0,Mill,Basin,,BROOKLYN,265,2
MILL ISLAND,3,1009744.1025,160194.46247,1,0,Mill,Island,,BROOKLYN,77,2
MILL NECK,,,,,,,,,,,
MILLBROOK,,,,,,,,,,,
MILLER PLACE,,,,,,,,,,,
MILLERTON,,,,,,,,,,,
MILLPORT,,,,,,,,,,,
MILTON,,,,,,,,,,,
MILTON,,,,,,,,,,,
MINEOLA,,,,,,,,,,,
MINETTO,,,,,,,,,,,
MINEVILLE-WITHERBEE,,,,,,,,,,,
MINOA,,,,,,,,,,,
MOHAWK,,,,,,,,,,,
MONROE,,,,,,,,,,,
MONSEY,,,,,,,,,,,
MONTAUK,,,,,,,,,,,
MONTEBELLO,,,,,,,,,,,
MONTGOMERY,,,,,,,,,,,
MONTICELLO,,,,,,,,,,,
MONTOUR FALLS,,,,,,,,,,,
MOOERS,,,,,,,,,,,
MORAVIA,,,,,,,,,,,
MORICHES,,,,,,,,,,,
MORNINGSIDE HEIGHTS,1,994244.65191,233655.21089,1,0,Morningside,Heights,,MANHATTAN,128,2
MORRIS,,,,,,,,,,,
MORRIS HEIGHTS,2,1006474.1117,248199.71264,1,0,Morris,Heights,,BRONX,16,2
MORRIS PARK,2,1025638.8919,248097.76074,1,0,Morris Park,,,BRONX,34,1
MORRISANIA,2,1011509.7266,239349.29202,1,0,Morrisania,,,BRONX,26,1
MORRISONVILLE,,,,,,,,,,,
MORRISTOWN,,,,,,,,,,,
MORRISVILLE,,,,,,,,,,,
MOTT HAVEN,2,1007476.82,233022.68394,1,0,Mott Haven,,,BRONX,22,1
MOUNT EDEN,2,1007337.6346,246717.02728,1,0,Mount,Eden,,BRONX,272,2
MOUNT HOPE,2,1009620.0706,248546.62074,1,0,Mount,Hope,,BRONX,273,2
MOUNT IVY,,,,,,,,,,,
MOUNT KISCO,,,,,,,,,,,
MOUNT MORRIS,,,,,,,,,,,
MOUNT SINAI,,,,,,,,,,,
MOUNT VERNON,,,,,,,,,,,
MUNNSVILLE,,,,,,,,,,,
MUNSEY PARK,,,,,,,,,,,
MUNSONS CORNERS,,,,,,,,,,,
MURRAY HILL,1,990253.74585,211904.38562,1,0,Murray,Hill,,MANHATTAN,118,2
MURRAY HILL,4,1036117.3382,217723.92615,1,0,Murray,Hill,,QUEENS,183,2
MUTTONTOWN,,,,,,,,,,,
MYERS CORNER,,,,,,,,,,,
NANUET,,,,,,,,,,,
NAPANOCH,,,,,,,,,,,
NAPEAGUE,,,,,,,,,,,
NAPLES,,,,,,,,,,,
NARROWSBURG,,,,,,,,,,,
NASSAU,,,,,,,,,,,
NATURAL BRIDGE,,,,,,,,,,,
NAVY YARD,3,992112.61911,193866.09034,1,0,Navy,Yard,,BROOKLYN,100,2
NEDROW,,,,,,,,,,,
NELLISTON,,,,,,,,,,,
NELSONVILLE,,,,,,,,,,,
NEPONSIT,4,1023825.3605,147717.03762,1,0,Neponsit,,,QUEENS,182,1
NESCONSET,,,,,,,,,,,
NEW BERLIN,,,,,,,,,,,
NEW BRIGHTON,5,960100.50301,172681.53001,1,0,New,Brighton,,STATEN ISLAND,201,2
NEW CASSEL,,,,,,,,,,,
NEW CITY,,,,,,,,,,,
NEW DORP,5,951890.76254,147901.50051,1,0,New,Dorp,,STATEN ISLAND,214,2
NEW DORP BEACH,5,955263.20855,144867.2241,1,0,New,Dorp,Beach,STATEN ISLAND,237,3
NEW HARTFORD,,,,,,,,,,,
NEW HEMPSTEAD,,,,,,,,,,,
NEW HYDE PARK,,,,,,,,,,,
NEW LOTS,3,1016122.4336,180752.90364,1,0,New,Lots,,BROOKLYN,263,2
NEW PALTZ,,,,,,,,,,,
NEW ROCHELLE,,,,,,,,,,,
NEW SPRINGVILLE,5,938437.14247,155821.71203,1,0,New,Springville,,STATEN ISLAND,212,2
NEW SQUARE,,,,,,,,,,,
NEW SUFFOLK,,,,,,,,,,,
NEW WINDSOR,,,,,,,,,,,
NEW YORK,1,998572.93099,161293.33593,1,0,Madison,,,BROOKLYN,299,1
NEW YORK CITY,1,998572.93099,161293.33593,1,0,Madison,,,BROOKLYN,299,1
NEW YORK MILLS,,,,,,,,,,,
NEWARK,,,,,,,,,,,
NEWARK VALLEY,,,,,,,,,,,
NEWBURGH,,,,,,,,,,,
NEWFANE,,,,,,,,,,,
NEWFIELD HAMLET,,,,,,,,,,,
NEWPORT,,,,,,,,,,,
NIAGARA FALLS,,,,,,,,,,,
NICHOLS,,,,,,,,,,,
NISKAYUNA,,,,,,,,,,,
NISSEQUOGUE,,,,,,,,,,,
NIVERVILLE,,,,,,,,,,,
NOHO,1,987455.99981,202779.51575,1,0,Noho,,,MANHATTAN,251,1
NORFOLK,,,,,,,,,,,
NORTH AMITYVILLE,,,,,,,,,,,
NORTH BABYLON,,,,,,,,,,,
NORTH BALLSTON SPA,,,,,,,,,,,
NORTH BAY SHORE,,,,,,,,,,,
NORTH BELLMORE,,,,,,,,,,,
NORTH BELLPORT,,,,,,,,,,,
NORTH BOSTON,,,,,,,,,,,
NORTH COLLINS,,,,,,,,,,,
NORTH CORONA,4,1023725.4926,214037.18779,1,0,North,Corona,,QUEENS,198,2
NORTH GREAT RIVER,,,,,,,,,,,
NORTH HAVEN,,,,,,,,,,,
NORTH HILLS,,,,,,,,,,,
NORTH HORNELL,,,,,,,,,,,
NORTH LINDENHURST,,,,,,,,,,,
NORTH LYNBROOK,,,,,,,,,,,
NORTH MASSAPEQUA,,,,,,,,,,,
NORTH MERRICK,,,,,,,,,,,
NORTH NEW HYDE PARK,,,,,,,,,,,
NORTH PATCHOGUE,,,,,,,,,,,
NORTH RIVERDALE,2,1010639.0355,270299.25768,1,0,North,Riverdale,,BRONX,37,2
NORTH SEA,,,,,,,,,,,
NORTH SIDE,3,995669.05228,199708.45464,1,0,North Side,,,BROOKLYN,98,1
NORTH SYRACUSE,,,,,,,,,,,
NORTH TONAWANDA,,,,,,,,,,,
NORTH VALLEY STREAM,,,,,,,,,,,
NORTH WANTAGH,,,,,,,,,,,
NORTHAMPTON,,,,,,,,,,,
NORTHEAST ITHACA,,,,,,,,,,,
NORTHPORT,,,,,,,,,,,
NORTHVILLE,,,,,,,,,,,
NORTHVILLE,,,,,,,,,,,
NORTHWEST HARBOR,,,,,,,,,,,
NORTHWEST ITHACA,,,,,,,,,,,
NORWICH,,,,,,,,,,,
NORWOOD,2,1017603.7227,258897.16795,1,0,Norwood,,,BRONX,9,1
NOYACK,,,,,,,,,,,
NUNDA,,,,,,,,,,,
NYACK,,,,,,,,,,,
NYC,1,998572.93099,161293.33593,1,0,Madison,,,BROOKLYN,299,1
OAKDALE,,,,,,,,,,,
OAKFIELD,,,,,,,,,,,
OAKLAND GARDENS,4,1052151.1496,211020.56718,1,0,Oakland,Gardens,,QUEENS,164,2
OAKWOOD,5,950470.54458,142762.78014,1,0,Oakwood,,,STATEN ISLAND,215,1
OCEAN BEACH,,,,,,,,,,,
OCEAN HILL,3,1008362.2936,186448.72262,1,0,Ocean,Hill,,BROOKLYN,90,2
OCEAN PARKWAY,3,993032.72356,162632.17675,1,0,Ocean,Parkway,,BROOKLYN,101,2
OCEANSIDE,,,,,,,,,,,
ODESSA,,,,,,,,,,,
OGDENSBURG,,,,,,,,,,,
OLCOTT,,,,,,,,,,,
OLD BETHPAGE,,,,,,,,,,,
OLD BROOKVILLE,,,,,,,,,,,
OLD FIELD,,,,,,,,,,,
OLD TOWN,5,959947.09846,156547.24929,1,0,Old,Town,,STATEN ISLAND,233,2
OLD WESTBURY,,,,,,,,,,,
OLEAN,,,,,,,,,,,
OLINVILLE,2,1022050.3073,256771.08001,1,0,Olinville,,,BRONX,42,1
ONEIDA,,,,,,,,,,,
ONEIDA CASTLE,,,,,,,,,,,
ONEONTA,,,,,,,,,,,
ORANGE LAKE,,,,,,,,,,,
ORANGEBURG,,,,,,,,,,,
ORCHARD PARK,,,,,,,,,,,
ORIENT,,,,,,,,,,,
ORISKANY,,,,,,,,,,,
